week,location,missingness,quantile10,quantile90,value
2016 31,Beijing US Embassy,0.017857142857142905,32.0,119.19999999999999,73.04242424242425
2016 31,US Diplomatic Post: New Delhi,0.20238095238095233,13.0,53.7,32.985074626865675
2016 32,Beijing US Embassy,0.04166666666666663,17.0,79.0,49.850931677018636
2016 32,US Diplomatic Post: New Delhi,0.023809523809523836,15.0,37.0,25.45731707317073
2016 33,Beijing US Embassy,0.005952380952380931,10.0,79.4,37.275449101796404
2016 33,US Diplomatic Post: New Delhi,0.023809523809523836,23.0,55.70000000000002,37.65853658536585
2016 34,Beijing US Embassy,0.29166666666666663,5.0,69.60000000000001,38.924369747899156
2016 34,US Diplomatic Post: New Delhi,0.0,14.0,42.30000000000001,27.636904761904763
2016 35,Beijing US Embassy,0.029761904761904767,3.0,26.0,12.828220858895705
2016 35,US Diplomatic Post: New Delhi,0.017857142857142905,12.400000000000002,57.599999999999994,33.7030303030303
2016 36,Beijing US Embassy,0.0,6.0,53.0,28.13095238095238
2016 36,US Diplomatic Post: New Delhi,0.13690476190476186,17.0,41.0,27.882758620689657
2016 37,Beijing US Embassy,0.059523809523809534,8.0,111.30000000000001,47.4746835443038
2016 37,US Diplomatic Post: New Delhi,0.023809523809523836,16.0,63.400000000000034,35.31707317073171
2016 38,Beijing US Embassy,0.011904761904761862,8.0,132.5,52.83132530120482
2016 38,US Diplomatic Post: New Delhi,0.011904761904761862,29.0,101.5,63.403614457831324
2016 39,Beijing US Embassy,0.005952380952380931,7.0,169.0,76.92215568862275
2016 39,US Diplomatic Post: New Delhi,0.017857142857142905,34.0,95.6,61.484848484848484
2016 40,Beijing US Embassy,0.005952380952380931,30.0,165.8,95.65868263473054
2016 40,US Diplomatic Post: New Delhi,0.005952380952380931,38.6,150.20000000000002,83.92814371257485
2016 41,Beijing US Embassy,0.0,11.0,145.50000000000006,76.23809523809524
2016 41,US Diplomatic Post: New Delhi,0.0,42.099999999999994,133.3,91.23928571428571
2016 42,Beijing US Embassy,0.0714285714285714,39.0,253.5,144.87820512820514
2016 42,US Diplomatic Post: New Delhi,0.0,37.37,127.83000000000006,88.04523809523809
2016 43,Beijing US Embassy,0.017857142857142905,10.0,109.19999999999999,49.68484848484849
2016 43,US Diplomatic Post: New Delhi,0.011904761904761862,33.5,207.6,117.25602409638554
2016 44,Beijing US Embassy,0.005952380952380931,6.0,164.4,64.61077844311377
2016 44,US Diplomatic Post: New Delhi,0.125,156.06,1164.3600000000001,426.821768707483
2016 45,Beijing US Embassy,0.17261904761904767,13.8,240.2,122.05755395683454
2016 45,US Diplomatic Post: New Delhi,0.19047619047619047,198.89999999999998,1064.5,575.6544117647059
